item,year,gsdp,state
"Agriculture, forestry and fishing",2011-12,9400805,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,11186428,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,12895568,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,14819416,Andhra_Pradesh
"Agriculture, forestry and fishing",2015-16,17326726,Andhra_Pradesh
"Agriculture, forestry and fishing",2016-17,20386004,Andhra_Pradesh
Crops,2011-12,5204052,Andhra_Pradesh
Crops,2012-13,6123041,Andhra_Pradesh
Crops,2013-14,7114707,Andhra_Pradesh
Crops,2014-15,7893514,Andhra_Pradesh
Crops,2015-16,8644285,Andhra_Pradesh
Crops,2016-17,9717089,Andhra_Pradesh
Livestock,2011-12,2758776,Andhra_Pradesh
Livestock,2012-13,3358438,Andhra_Pradesh
Livestock,2013-14,3643026,Andhra_Pradesh
Livestock,2014-15,4309078,Andhra_Pradesh
Livestock,2015-16,5155487,Andhra_Pradesh
Livestock,2016-17,5979648,Andhra_Pradesh
Forestry and logging,2011-12,250314,Andhra_Pradesh
Forestry and logging,2012-13,253029,Andhra_Pradesh
Forestry and logging,2013-14,280493,Andhra_Pradesh
Forestry and logging,2014-15,346160,Andhra_Pradesh
Forestry and logging,2015-16,340550,Andhra_Pradesh
Forestry and logging,2016-17,335487,Andhra_Pradesh
Fishing and aquaculture,2011-12,1187663,Andhra_Pradesh
Fishing and aquaculture,2012-13,1451920,Andhra_Pradesh
Fishing and aquaculture,2013-14,1857342,Andhra_Pradesh
Fishing and aquaculture,2014-15,2270664,Andhra_Pradesh
Fishing and aquaculture,2015-16,3186404,Andhra_Pradesh
Fishing and aquaculture,2016-17,4353780,Andhra_Pradesh
Mining and quarrying,2011-12,1416194,Andhra_Pradesh
Mining and quarrying,2012-13,1459027,Andhra_Pradesh
Mining and quarrying,2013-14,1419200,Andhra_Pradesh
Mining and quarrying,2014-15,1484300,Andhra_Pradesh
Mining and quarrying,2015-16,1633100,Andhra_Pradesh
Mining and quarrying,2016-17,1757565,Andhra_Pradesh
Manufacturing,2011-12,5070622,Andhra_Pradesh
Manufacturing,2012-13,4237657,Andhra_Pradesh
Manufacturing,2013-14,4242337,Andhra_Pradesh
Manufacturing,2014-15,4672266,Andhra_Pradesh
Manufacturing,2015-16,5078685,Andhra_Pradesh
Manufacturing,2016-17,5740816,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,1076517,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,713029,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,1014130,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,1151729,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,1251910,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2016-17,1298947,Andhra_Pradesh
Construction,2011-12,3702645,Andhra_Pradesh
Construction,2012-13,3759004,Andhra_Pradesh
Construction,2013-14,4065131,Andhra_Pradesh
Construction,2014-15,4664889,Andhra_Pradesh
Construction,2015-16,4986189,Andhra_Pradesh
Construction,2016-17,5467732,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,2673600,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,3179200,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,3784900,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,4233400,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,4577700,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2016-17,5174600,Andhra_Pradesh
Trade & repair services,2011-12,2322700,Andhra_Pradesh
Trade & repair services,2012-13,2775600,Andhra_Pradesh
Trade & repair services,2013-14,3290800,Andhra_Pradesh
Trade & repair services,2014-15,3716000,Andhra_Pradesh
Trade & repair services,2015-16,3964000,Andhra_Pradesh
Trade & repair services,2016-17,4382200,Andhra_Pradesh
Hotels & restaurants,2011-12,350900,Andhra_Pradesh
Hotels & restaurants,2012-13,403600,Andhra_Pradesh
Hotels & restaurants,2013-14,494100,Andhra_Pradesh
Hotels & restaurants,2014-15,517400,Andhra_Pradesh
Hotels & restaurants,2015-16,613700,Andhra_Pradesh
Hotels & restaurants,2016-17,792400,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,3251379,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,3778632,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,4365811,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,5076984,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,5806226,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2016-17,6766317,Andhra_Pradesh
Railways,2011-12,264279,Andhra_Pradesh
Railways,2012-13,303702,Andhra_Pradesh
